ccaa,date,deaths_observed,deaths_expected,deaths_expected_p01,deaths_expected_p99
Andalucía,2019-11-08,192,183,148.72,222.42
Andalucía,2019-11-09,180,183,148.72,217.38
Andalucía,2019-11-10,197,183,153.06,216.76
Andalucía,2019-11-11,185,186,156.16,212.9
Andalucía,2019-11-12,208,189,156.16,215.38
Andalucía,2019-11-13,195,190,163.62,217.14
Andalucía,2019-11-14,201,189,163.62,217.14
Andalucía,2019-11-15,170,188,163,216.52
Andalucía,2019-11-16,178,188,162.24,216.52
Andalucía,2019-11-17,193,188,162.24,216.52
Andalucía,2019-11-18,204,188,162.24,217.76
Andalucía,2019-11-19,207,187,162.24,219.38
Andalucía,2019-11-20,203,189,162.24,218.14
Andalucía,2019-11-21,226,191,162.24,224
Andalucía,2019-11-22,213,189,162.24,224
Andalucía,2019-11-23,206,191,167.96,224
Andalucía,2019-11-24,186,193,168.58,224
Andalucía,2019-11-25,175,195,169.2,228.56
Andalucía,2019-11-26,201,197,169.82,232.28
Andalucía,2019-11-27,199,197,169.82,232.28
Andalucía,2019-11-28,236,197,169.82,232.28
Andalucía,2019-11-29,216,199,169.82,232.28
Andalucía,2019-11-30,191,201,174,232.28
Andalucía,2019-12-01,204,201,165.78,232.9
Andalucía,2019-12-02,185,201,165.78,230.38
Andalucía,2019-12-03,209,201,165.78,241.84
Andalucía,2019-12-04,190,201,165.78,241.84
Andalucía,2019-12-05,195,202,165.78,245.56
Andalucía,2019-12-06,203,202,157.1,245.56
Andalucía,2019-12-07,182,204,157.1,253.76
Andalucía,2019-12-08,193,204,170.16,253.76
Andalucía,2019-12-09,185,203,158.62,253.76
Andalucía,2019-12-10,185,203,158.62,253.76
Andalucía,2019-12-11,212,204,158.62,253.76
Andalucía,2019-12-12,190,203,158.62,253.76
Andalucía,2019-12-13,197,203,166.06,254.38
Andalucía,2019-12-14,221,205,166.06,253.38
Andalucía,2019-12-15,237,207,166.06,253.38
Andalucía,2019-12-16,202,209,172.86,250.28
Andalucía,2019-12-17,213,210,172.86,250.28
Andalucía,2019-12-18,192,214,172.86,253.38
Andalucía,2019-12-19,207,214,175.96,261.22
Andalucía,2019-12-20,183,214,182.1,264.32
Andalucía,2019-12-21,250,211,179.06,264.32
Andalucía,2019-12-22,207,211,179.06,264.32
Andalucía,2019-12-23,208,211,175.34,266.18
Andalucía,2019-12-24,226,214,175.34,275.28
Andalucía,2019-12-25,222,212,175.34,275.28
Andalucía,2019-12-26,205,215,175.34,292.68
Andalucía,2019-12-27,228,217,175.34,293.92
Andalucía,2019-12-28,211,219,182.34,293.92
Andalucía,2019-12-29,210,219,180.52,293.58
Andalucía,2019-12-30,222,219,183.92,311.16
Andalucía,2019-12-31,195,219.5,183.95,311.1
Andalucía,2020-01-01,175,220,183.98,317.38
Andalucía,2020-01-02,243,224,184.01,313.29
Andalucía,2020-01-03,243,222,182.68,313.16
Andalucía,2020-01-04,227,225,182.69,313.03
Andalucía,2020-01-05,221,226,185.07,313.72
Andalucía,2020-01-06,216,229,185.07,313.72
Andalucía,2020-01-07,217,226,185.07,313.72
Andalucía,2020-01-08,222,231,182.69,306.55
Andalucía,2020-01-09,241,235,182.69,306.55
Andalucía,2020-01-10,261,238.5,184.76,306.55
Andalucía,2020-01-11,245,239,188.21,306.55
Andalucía,2020-01-12,236,238,188.21,305
Andalucía,2020-01-13,225,239,189.59,302.93
Andalucía,2020-01-14,233,239,181.07,302.93
Andalucía,2020-01-15,254,237,181.76,302.24
Andalucía,2020-01-16,240,234,181.76,302.17
Andalucía,2020-01-17,303,236.5,181.76,308.55
Andalucía,2020-01-18,279,234,181.76,308.55
Andalucía,2020-01-19,247,235.5,181.76,308.55
